Material	EAN	DescricaoCompleta	SubGrupo	quantidade	custoMedio
400001061	7896004714578	NARIDRIN 12 HORAS 30ML NAFA+MEPI+DEX EMS	EMS SIM	16057	6.17
400004828	7896112165651	HIDROCLOROTIAZIDA G.TEU 25MG 30CP	TEUTO GEN	15585	0.85
400017299	7898758870463	HIDRATEEE MAX PRO ZINCO 4SACE LARAN PVT	PREVENT PHARMA	15078	3.31
400000006	7894164000463	ABERALGINA 20ML GTS DIPIRONA SOD AIR.	AIRELA	14369	1.92
400005038	7898049796267	ANLODIPINO G.VIT 5MG 30CP	VITAMEDIC GEN	14204	0.99
400001590	7899095238527	ANLODIPINO G.GEO 05MG 30CP	GEOLAB GEN	14181	1.31
400007995	7896472520206	RESFEGRIPE 20 CA PARACETAMOL+ASSOC MUL.	MULTILAB INVERNO	13950	1.67
400004917	7896112121282	QUETIAPINA G.TEU 25MG 30CP(C1)	TEUTO GEN	13842	2.72
400004841	7896112158363	IBUPRIL 600MG 20CP IBUPROFENO TEU.	TEUTO SIM	13827	2.56
400003941	7896714200804	TORSILAX 30CP PARACETAMOL+ASSOC NEO.	NEO Q. SMART	13660	6.73
400004781	7896112194651	DEXASON 4MG 10CP DEXAMETASONA TEU.	TEUTO SIM	13340	1.72
400004934	7896112136675	SIMETICONA G.TEU 125MG 10CA GEL	TEUTO GEN	13325	1.7
400017161	7898758870180	TESTE GRAVIDEZ  CANETA INST BABY 1UN PVT	PREVENT PHARMA	13312	1.93
400004738	7896112116660	CAPTOPRIL G.TEU 25MG 30CP	TEUTO GEN	12623	1.11
400004775	7896112141655	COLIRIO TEUTO 0,15+0,3MG/ML 20ML  NAFAZO	TEUTO SIM	12578	2.24
400006100	7894164001132	VITAXON C 1G 10CP EFERV LARANJA AIR	AIRELA	12135	2.78
400004913	7896112110576	PROPRANOLOL G.TEU 40MG 30CP	TEUTO GEN	12059	1.26
400004804	7896112126225	ENALAPRIL G.TEU 10MG 30CP	TEUTO GEN	11746	1.9
400008885	7898593053366	VITAMINA B12 MASTIGAVEL  60 COMP MAX.	MAXINUTRI	11605	12.48
400004871	7896112126485	METFORMINA G.TEU 850MG 30CP	TEUTO GEN	11492	3.01
400017840	7898758870678	CEKLIN VIT C+ZINCO 1G+10MG 10CP EFER KLG	KLINGER	11335	2.2
400004772	7896112135913	CLONAZEPAM G.TEU GTS 20ML(B1)	TEUTO GEN	10533	2.46
400007027	7898277714675	CETOCONAZOL SHAMP 100 ML PVT.	PREVENT PHARMA	10456	4.52
400017344	7898758870265	FEMME WAY CABELO E UNHA 60CP REV PVT	PREVENT PHARMA	10423	4.1
400017628	7898758870715	VIT B12+VIT C+1G 30CP EFERV LARANJA PVT	PREVENT PHARMA	10040	7.28
400004909	7896112180616	PROFERGAN 20MG CR 30G PROMETAZINA TEU.	TEUTO SIM	10016	5.83
400001765	7899095201187	SODIX 50MG 20CP DICL SODICO GEO.	GEOLAB SIM	9730	1.66
400009197	7899095202405	CLONAZEPAM 2 MG 30 CP GEO. (B1)	GEOLAB GEN	9384	1.75
400005391	7898133134784	RIFOTRAT SPR 10MG/ML 20ML RIFAM. NAT.(*)	NATULAB	8932	5.46
400005076	7898049797332	NIMESULIDA G.VIT 100MG 12CP	VITAMEDIC GEN	8567	0.94
400003313	7896862923273	PANTOPRAZOL G.MED 40MG 30CP	MEDQUIMICA GEN	8532	3.4
400011043	7899470808093	DIPIRONA MON. G. NAT 1G 10CP	NATULAB	8458	4.78
400009509	7898216366392	ROSUVASTATINA G. PLB. 20MG 30CP	PHARLAB GEN	8451	4.92
400002865	7896004720838	REPOFLOR 200MG 06CA SACCHA BOU LEG.	LEGRAND SUPERMARCAS	8442	11.93
400004638	7897595609892	SINVASTATINA G.SAN 40MG 30CP	SANDOZ GEN	8149	3.98
400002550	7896181929161	TADALAFILA G.BIO 5MG 30 CP	BIOSINTETICA/LABOFARMA GEN	8139	3.79
400006350	7896112102908	VENAFLON 900+100MG 30CP DIOSM+HESPE TEU.	TEUTO SIM	8071	19.62
400011251	7898927119287	COMPLEXO B12 CONCENTRADO 30 CP PVT.	PREVENT PHARMA	8020	3.27
400008383	7896862923297	GLIBENCLAMIDA G. MED 5 MG 30 CP	MEDQUIMICA GEN	7962	0.97
400016381	7898758870074	CEKLIN FOR C VIT C+ARG+ZIN 10CP EF KLG	KLINGER	7884	3.17
400004729	7896112103776	BENEUM 300MG 30CP TIAMINA TEU.	TEUTO SIM	7853	8.62
400015630	7896112107439	FUROSEMIDA G. TEU 40 MG 30 CP	TEUTO GEN	7780	2.21
400008829	7898927119126	GARGOTRICIN 12 PAST S/ MEL E LIMAO PVT.	PREVENT PHARMA	7751	2.51
400018863	7898961021287	POWER MILL IMMUNE 60CAP PVT	PREVENT PHARMA	7730	5.59
400001036	7896004706795	LOSARTANA G.EMS 50MG 30CP	EMS GEN	7647	1.26
400004685	7898927118037	COMPLEXO B 100CP PVT.	PREVENT PHARMA	7646	3.06
400004637	7897595609854	SINVASTATINA G.SAN 20MG 30CP	SANDOZ GEN	7643	2.04
400018018	7898758870708	LUFTGAS 75MG/ML 15ML GTS SIMETICONA PVT	PREVENT PHARMA	7634	1.61
400018726	7896004791418	DAPAGLIFLOZINA 10MG 30CP REV G. EMS	EMS GEN	7595	45.67
400003913	7896714226705	SILDENAFILA G.NEO 50MG 4CP	NEO Q. GEN	7535	1.35
400016416	7896112125839	VENAFLON 450+50MG 60CP REV DIO+HESP TEU	TEUTO GEN	7489	16.84
400005072	7898049790180	LORASLIV 10MG 12CP LORATADINA VIT.	VITAMEDIC SIM	7482	0.92
400005211	7896714283005	NEOPIRIDIN 12 PAST CETILPIRID.+BENZ NEO.	NEO Q. SMART	7467	5.74
400016051	7896714293127	NEOPANTOL BABY 30G POM NEO	NEO Q. GEN	7363	3.28
400006130	7894164006007	VITAXON C ZINCO10CP EFERV VITC+ZIN. AIR.	AIRELA	7331	3.13
400017950	7898758870883	MUCOVAN PLUS 120ML XPE MENTA E PVT	PREVENT PHARMA	7266	4.15
400016774	7896862992668	DIPIMED 1G 10CP REV DIPIRONA MONO MED	MEDQUIMICA SIM	7078	2.87
400018213	7896862994372	DAPAGLIFLOZINA 10MG 30CP REV G. MED	MEDQUIMICA GEN	6979	37.3
400007598	7899095201330	ALBEL 400MG 01CP ALBENDAZOL GEO.	GEOLAB SIM	6889	1.1
400007740	7896004773957	NEXFLEN 550 MG 10 CP NAPROXENO LEG.	LEGRAND SUPERMARCAS	6690	7.34
400004735	7896112172666	BROMOPRIDA G.TEU 10MG 20CP	TEUTO GEN	6615	3.19
400011258	7898927119218	XANTE 30 CP PVT.	PREVENT PHARMA	6550	2.93
400004773	7896112103394	CLOPIDOGREL G.TEU 75MG 30CP	TEUTO GEN	6393	7.68
400010893	7896112104582	CITRATO SILDENAFILA G. TEU 50MG 4 CP	TEUTO GEN	6352	0.82
400004953	7896112126669	TIMOLOL G.TEU 0,5 % SOL 5ML	TEUTO GEN	6342	2.05
400002510	7896181915638	LOSARTANA G.BIO 50MG 30CP	BIOSINTETICA/LABOFARMA GEN	6299	1.24
400011031	7899470808338	TILEMAXY 200MG/ML 15 ML PARACETAMOL NAT	NATULAB	6299	1.9
400017186	7896112108269	CITRATO DE SILDENAFILA 50 MG 8CP G. TEU	TEUTO GEN	6234	1.31
400007676	7894164008735	ABIDOR 15ML GTS PARACETAMOL AIR.	AIRELA	6230	1.77
400001697	7899095260481	IBUPROFENO G.GEO 100MG/ML 20ML	GEOLAB GEN	6211	1.95
400006173	7896004700502	APEVITIN BC XPE 240ML CIPROEPT.+ASS EMS.	EMS SIM	6132	7.63
400000448	7896181914280	PREDNISOLONA G.BIO 3MG/ML SOL OR 60ML	BIOSINTETICA/LABOFARMA GEN	6062	5
400007072	7898639303431	LENCO UMED MEU BEBE 90 UNI NTX.	NUTRIEX	5809	3.3
400006775	7898277714613	SULFATO FERROSO 30 ML GTS PVT.	PREVENT PHARMA	5779	0.84
400006771	7898277714644	HIDRATEEE MORANGO 450 ML PVT.	PREVENT PHARMA	5661	2.6
400004966	7896112103851	ZOLPIDEM G.TEU 10MG 30CP(B1)	TEUTO GEN	5637	2.4
400017298	7898758870470	HIDRATEEE MAX PRO ZINCO 4SACHE UVA PVT	PREVENT PHARMA	5597	3.12
400001404	7891317477592	SILDENAFILA G.EUR 50MG 4CP	EUROFARMA GEN	5575	0.88
400003489	7896472513307	BUPROVIL 600MG 20CP IBUPROFENO MUL.	MULTILAB INVERNO	5569	2.91
400003300	7896862920029	GRIPINEW 20CP CLOFEN+CAFEINA+DIP MED.	MEDQUIMICA SIM	5547	3.93
400004770	7896112123033	CLINDAMICINA G.TEU 300MG 16CA(*)	TEUTO GEN	5535	9.54
400003784	7896714217093	GLIBENCLAMIDA G.NEO 5MG 30CP	NEO Q. GEN	5482	1.13
400003314	7896862991975	PANTOPRAZOL G.MED 40MG 60CP	MEDQUIMICA GEN	5452	7.87
400016911	7894916343305	TROME.CETOROLACO 10MG 10CP SUBL G. LEG	LEGRAND GEN	5408	4.74
400004845	7896112114413	IPRATROPIO G.TEU GTS 0,25MG/ML 20ML	TEUTO GEN	5277	1.35
400001441	7891317431358	ESPIRONOLACTONA G.EUR 25MG 30CP	EUROFARMA GEN	5252	5.09
400008864	7896112406778	SIMETICONA G. BLB 125 MG 15 CA	BIOLAB GEN	5107	11.51
400004786	7896112147701	DICLOFENACO DIETILAMONIO G.TEU GEL 60 G	TEUTO GEN	5016	4.25
400004779	7896112101352	DEXAMETASONA G.TEU CR 10 G	TEUTO GEN	5000	1.67
400004740	7896112119210	CARBAMAZEPINA G.TEU 200MG 30CP(C1)	TEUTO GEN	4984	3.71
400004897	7896112148715	OMEPRAZOL G.TEU 20MG 28 CA	TEUTO GEN	4937	2.11
400018728	7896094931534	TOSSEXPEC 120ML XPE NEO	NEO Q. SMART	4926	10.11
400017749	7898758870661	CEKLIN VITAMINA C 1G 10CP EFERV KLG	KLINGER	4864	2.02
400006266	7896004810140	BISMU-JET 25MG GTS 20ML PROCAI.+ASS LEG.	LEGRAND SUPERMARCAS	4863	10.18
400008976	7897917004688	BETACORTAZOL CR30G CETO+BETA+NEO BEL.(*)	BELFAR SIMILAR	4833	5.3
400004883	7896112121831	NAPROXENO G.TEU 500MG 10CP	TEUTO GEN	4768	2.98
400004822	7896112125617	FLUOXETINA G.TEU 20MG 30CA(C1)	TEUTO GEN	4763	1.7
400009299	7898007677300	SORO MANITOL 20% 500 ML SF EQU.	EQUIPLEX	4729	12.03
400006223	7896004731674	EXPECTAMIN XPE 120ML DEXCL+PSEU+GUA LEG.	LEGRAND SUPERMARCAS	4714	9.71
400004726	7896112125662	AZITROMICINA G.TEU 500MG 5CP(*)	TEUTO GEN	4693	3.95
400004907	7896112172208	PREGABALINA G.TEU 150MG 30CA(C1)	TEUTO GEN	4691	5.87
400004816	7896112119845	FENOBARBITAL G.TEU 100MG 30CP(B1)	TEUTO GEN	4638	4.31
400004702	7896112128847	ACICLOVIR G.TEU 50MG/G CR 10 G	TEUTO GEN	4604	2.74
400003154	7891058002657	HIDROCLOROTIAZIDA G.SNF 25MG 30CP	MEDLEY GEN	4504	0.54
400006773	7898277714651	HIDRATEEE UVA 450 ML PVT.	PREVENT PHARMA	4500	2.6
400016025	7896112125822	VENAFLON 450+50MG 30CP REV G.TEU	TEUTO GEN	4472	9.2
400010620	7898049795567	AMLODIL 5MG 30 CP BESILATO ANLOD. VIT	VITAMEDIC SIM	4451	1.18
400001627	7899095203556	CISTEIL XPE AD 120ML ACETILCISTEINA GEO.	GEOLAB SIM	4429	6.46
400003830	7898947385693	METOPROLOL G. NEO 25MG 30 CA	NEO Q. GEN	4423	10.32
400010877	7896112168331	DESLORATADINA G. TEU 0,5 MG/ML 60 ML	TEUTO GEN	4413	3.95
400001086	7896004707600	OTOMIXYN GTS 5ML FLUOCIN+ASSOC MUL(*)	MULTILAB SIM	4412	2
400000455	7896181928683	SIMETICONA 75MG 10ML BIO.	BIOSINTETICA/LABOFARMA GEN	4407	1.1
400006772	7898277714637	HIDRATEEE NATURAL 450 ML PVT.	PREVENT PHARMA	4373	2.6
400004831	7896112132936	HIDROCORTISONA G.TEU CR 15 G	TEUTO GEN	4353	3.66
400010227	7899095202917	LORATADINA G. GEO 10MG 12 CP	GEOLAB GEN	4331	1.37
400005061	7898049793761	FLUCONID 150MG 2CA FLUCONAZOL VIT.	VITAMEDIC SIM	4282	0.94
400004704	7896112147909	ALBENDAZOL G.TEU 40MG/ML SUS 10ML	TEUTO GEN	4225	1.62
400009520	7896112192626	VALSARTANA G. TEU. 160MG 30CP	TEUTO GEN	4223	9.74
400003656	7899898601542	VITER C 1G 10CP EFERV VITAMINA C NAT.	NATURELIFE	4212	3.21
400011160	7899470808253	DIPIRONA MON. G. NAT 500MG/ML 20 ML	NATULAB	4204	2.47
400015842	7894164010899	SIMETICONA     75MG/ML 15ML GTS G. AIR	AIRELA	4202	1.49
400004910	7896112148685	PROFERGAN 25MG 20CP PROMETAZINA TEU.	TEUTO SIM	4192	2.02
400004784	7896112127437	DEXCLORFENIRAMINA+BETA G.TEU XPE 120ML	TEUTO GEN	4174	2.89
400001635	7899095220928	COLIRIO GEOLAB 20ML  NAFAZOLINA+ZINCO GE	GEOLAB SIM	4162	2.55
400005059	7898049796168	FLUCONAZOL G.VIT 150MG 2 CA	VITAMEDIC GEN	4103	0.94
400003631	7898133137969	LUFBEM 15ML GT SIMETICONA NAT.	NATULAB	4084	2.07
400017525	7898700413007	DIPIRONA 1G 10CP G. VIT	VITAMEDIC GEN	4035	2.76
400002239	7899620912441	SIMETICONA 40MG 20CP GLO.	GLOBO SIM	4004	2.06
400001300	7891317141967	DIP.BETA+FOSF BETA G.EUR 5/2MG/ML 01 AP	EUROFARMA GEN	4001	3.4
400016269	7899095204126	ONDANSETRONA 4MG 10CP ORODISP G. GEO	GEOLAB GEN	3991	2.63
400018201	7891317039738	DAPAGLIFLOZINA 10MG 30CP REV G. EUR	EUROFARMA GEN	3918	42.76
400017347	7898758870517	ACETIL IMMUNE 600MG 16SACHE PVT	PREVENT PHARMA	3913	6.11
400001704	7899095222113	IBUVIX GTS 100MG 20ML IBUPROFENO GEO.	GEOLAB SIM	3879	1.89
400002830	7894916143080	NIMESULIDA G.LEG 100MG 12CP	LEGRAND GEN	3877	1.07
400000208	7897917001694	BELFACTRIM F 800/160MG 10CP BEL. (*)	BELFAR SIMILAR	3864	3.71
400004932	7896112102960	SERTRALINA G.TEU 50MG 30CP(C1)	TEUTO GEN	3846	4.02
400000089	7898569760496	ROSUVASTATINA G.ALT 20MG 30CP	ALTHAIA GEN	3787	9.44
400005740	7899470807652	SEAKALM 600MG 20CP PASSIFL. INCARN. NAT.	NATULAB	3781	20.4
400005313	7898014560077	BENZODERM SAB 60G BENZOATO BENZILA PHA.	PHARMASCIENCE	3759	5.52
400008882	7898593053243	REHIDRALIN PO NATURAL 4ENV 28G MAX.	MAXINUTRI	3749	5.67
400000065	7898569765262	IROSE 500MG 6CP NITAZOXANIDA ALT.	ALTHAIA SIM	3740	10.01
400017160	7898758870210	TESTE  GRAVIDEZ  TIRA INST BABY 1UN PVT	PREVENT PHARMA	3711	0.67
400017145	7896112108627	BIOLAGRIMA 0,15 % 10ML FR HIALU SOD TEU	TEUTO SIM	3697	16.76
400004733	7896112115267	BROMAZEPAM G.TEU 3MG 30CP(B1)	TEUTO GEN	3695	2.11
400006843	7899095267428	OMEPRAZOL G. GEO 20 MG 28 CA	GEOLAB GEN	3662	2.39
400015884	7898700412253	ATENOLOL     25MG   30CP G. VIT	VITAMEDIC GEN	3650	0.99
400006218	7896004727806	EMS EXPECTOR XPE 120 MIL DEXCLOR+AS EMS.	EMS SIM	3643	10.1
400017288	7898758870234	SEXTOOO 10ML FLAC 48UN ABACAXI PVT	PREVENT PHARMA	3636	15.59
400004701	7896112128762	ACICLOVIR G.TEU 200MG 25CP	TEUTO GEN	3611	4.86
400010888	7896112168348	DESLORATADINA G. TEU 0,5 MG/ML 100 ML	TEUTO GEN	3607	4.7
400001615	7899095201941	CELETIL XPE 120ML DEXCLOR+BETA GEO.	GEOLAB SIM	3569	4.72
400015901	7898927119232	GARGOTRICIN PASTILHA 12UN FRAMBOESA PVT	PREVENT PHARMA	3559	2.51
400007967	7896112160281	IBUPRIL 400 MG 8 CA IBUPROFENO TEU.	TEUTO SIM	3557	2.49
400017422	7898758870654	CEKLIN TRIPLA ACAO VIT C+D+Z 1G 10CP KLG	KLINGER	3547	2.87
400001628	7899095203532	CISTEIL XPE INF120ML ACETILCISTEINA GEO.	GEOLAB SIM	3546	5.73
400002185	7898060132600	LOPERAMIDA G.GLO 2MG 12CP	GLOBO GEN	3545	1.4
400010096	7899655506783	GEL NOCAUTEADOR 200G DOK.	DOKIMOS	3537	13.88
400001599	7899095258013	BESILAPIN 5MG 30CP ANLODIPINO GEO.	GEOLAB SIM	3528	1.45
400003787	7896714211978	HIDROCLOROTIAZIDA G.NEO 25MG 30CP	NEO Q. GEN	3498	0.96
400000210	7897917001465	BELFAREN 50MG 20CP DICLO SODICO BEL.	BELFAR SIMILAR	3410	1.49
400003938	7896714218267	TORSILAX 12CP PARACETAMOL+ASSOC NEO.	NEO Q. SMART	3388	2.79
400016344	7898758870012	ACETIL IMMUNE ACET.40MG/ML 120ML XPE PVT	PREVENT PHARMA	3369	4.19
400004769	7896112129110	CITALOPRAM G.TEU 20MG 30CP(C1)	TEUTO GEN	3361	3.06
400017389	7899095202702	MELOXICAM 15MG 10CP G. GEO	GEOLAB GEN	3349	1.77
400000407	7896181927693	DESVENLAFAXINA G.BIO 50MG 30CP(C1)	BIOSINTETICA/LABOFARMA GEN	3338	15.88
400005054	7898049796564	ENALAPRIL G.VIT 10MG 30CP	VITAMEDIC GEN	3327	1.96
400018005	7898758870425	PREVENT C MAX TRIPLA ACAO 30CP EFERV PVT	PREVENT PHARMA	3321	7.28
400010662	7899095202498	ALBEL 400MG 5 CP ALBENDAZOL GEO	GEOLAB SIM	3312	4.04
400007985	7898179710065	DORMEC 100MG 200 CP AC ACETILSALIC. IMC.	IMEC	3299	7.37
400006363	7896112140306	DEXAVISON SOL OFT 5ML DEXAM+NEOM TEU.(*)	TEUTO SIM	3285	1.9
400002471	7896181901327	CICLOBENZAPRINA G.BIO 10MG 15CP	BIOSINTETICA/LABOFARMA GEN	3275	2.51
400007097	7896112106470	CELECOXIBE G. TEU 200 MG 10 CP (C1)	TEUTO GEN	3257	3.42
400018230	7898758870647	PREVENT C VIT C+ZINCO 30CP EFERV PVT	PREVENT PHARMA	3256	7.3
400004817	7896112144892	FERRONIL 40MG 50CP SULF FERROSO TEU.	TEUTO SIM	3252	3.38
400017303	7898758870340	NUTRIFER 150MG 30CAP BISG DE FERRO PVT	PREVENT PHARMA	3225	6.89
400000852	7896004801216	CYSTEX 24DG ACRIFLAVINA+ASSOC EMS.	EMS SIM	3209	19.45
400004794	7896112136804	DIMEZIN MAX 125MG 10CA SIMETICONA TEU.	TEUTO SIM	3181	1.66
400009519	7896112104568	ATORVASTATINA CÁLCICA G. TEU 10MG 30 CP	TEUTO GEN	3151	3.58
400004734	7896112113843	BROMAZEPAM G.TEU 6MG 30CP(B1)	TEUTO GEN	3129	2.64
400005217	7896862960254	GASTROGEL FRESH SUS 150ML MED.	MEDQUIMICA SIM	3126	10.05
400018524	7898758871019	VITAMINADOS KIDS 60CP FRUTAS VERM PVT	PREVENT PHARMA	3108	4.19
400001985	7896004777801	IVERMECTINA G.GER 6MG 4CP	GERMED GEN	3107	3.06
400004518	7897595605276	AMOXICILINA+CLAV G.SAN 250MG SOL 75ML(*)	SANDOZ GEN	3097	14.47
400002160	7899620911895	FLUCOLCID 150MG 2CA FLUCONAZOL GLO.	GLOBO SIM	3085	1.2
400005082	7898049796830	PREDNISOLONA G.VIT 3MG/ML SOL 60ML	VITAMEDIC GEN	3064	4.37
400003871	7896714223841	NIMESULIDA G.NEO 100MG 12CP	NEO Q. GEN	3042	1.46
400004744	7896112128861	CEFALEXINA G.TEU 250MG SUS 100ML(*)	TEUTO GEN	3038	7.34
400017499	7896004791081	XAQUELIV 12CP DIP+DI-HIDRO+CAF MUL	MULTILAB SIM	3029	5.91
400015698	7896472520534	RESFEGRIPE SINUS 500+30MG 24CP PARAC MUL	MULTILAB SIM	3007	7.39
400002732	7894916143448	DIPIRONA G.LEG XPE 50MG/ML 100ML	LEGRAND GEN	3004	4.34
400017234	7898758870548	TESTO VITAL FOR MEN A-Z 60CAP GEL PVT	PREVENT PHARMA	2964	8.33
400002864	7896004715247	REPOFLOR 100MG 12CA SACCHA BOU LEG.	LEGRAND SUPERMARCAS	2957	13.13
400006353	7896112104070	VENAFLON 900+100MG 60CP DIOSM+HESPE TEU.	TEUTO SIM	2953	39.45
400003790	7896714219301	HISTAMIN 2MG 20CP DEXCLORFENIRAMINA NEO.	NEO Q. SMART	2933	3.22
400002196	7899620910485	NOVOPRAZOL 20MG 56CP OMEPRAZOL GLO.	GLOBO SIM	2923	3.08
400015816	7894164010844	SIMETICONA     75MG/ML 10ML GTS G. AIR	AIRELA	2915	1.12
400003732	7896714200699	CORTICORTEN 20MG 20CP PREDNISONA NEO.	NEO Q. SMART	2896	4.75
400005185	7896714221083	NEOCOFLAN 11,6MG AER FR 85ML NEO.	NEO Q. SMART	2895	8.59
400010266	7898947017136	DERMA OLEO CICATRIZANTE CURAT 200ML NTX.	NUTRIEX	2876	9.71
400004736	7896112120292	BROMOPRIDA G.TEU 4MG/ML GTS 20ML	TEUTO GEN	2867	1.76
400006349	7896112102441	FENAFLAN ICE 150ML SPR METILA+ASSOC TEU.	TEUTO SIM	2866	7.29
400001678	7899095201255	FLEXALGIN 30CP PARAC+ASSOC GEO.	GEOLAB SIM	2864	4.45
400004921	7896112171416	RISPERIDONA G.TEU 2MG 30CP(C1)	TEUTO GEN	2842	4.13
400001741	7899095204720	OTOSYLASE GTS 10ML FLUOCIN+ASSOC GEO.(*)	GEOLAB SIM	2835	2.85
400017748	7898758870685	CEKLIN VITAMINA C 1G 30CP EFERV KLG	KLINGER	2832	6.49
400010845	7898049794171	IBUPROFENO G. VIT 100MG/ML 20 ML	VITAMEDIC GEN	2831	2.1
400001087	7896004713724	OXIMETAZOLINA G.EMS AD 0,50MG/ML 30ML	EMS GEN	2823	6.81
400005394	7898133136047	SEAKALM 260MG 20CP PASSIFL. INCARN NAT.	NATULAB	2816	11.5
400005688	7899095203273	BETRICORT 20/0,64MG POM 30G GEO.(*)	GEOLAB SIM	2798	5.29
400015983	7896714291024	DORALGINA 300+30+30MG 20CP REV NEO	NEO Q. SMART	2795	5.9
400004832	7896112132974	HIDROCORTISONA G.TEU CR 30 G	TEUTO GEN	2790	5.45
400003485	7896472513284	BUPROVIL 300MG 20CP IBUPROFENO MUL.	MULTILAB INVERNO	2787	3.75
400003745	7896714207551	DIPIRONA G.NEO 1G 10CP	NEO Q. GEN	2787	4.41
400004800	7896112129653	DORZOLAMIDA+TIMOLOL 20+5MG/ML 5ML SOL OF	TEUTO GEN	2775	9.78
400000088	7898569760458	ROSUVASTATINA G.ALT 10MG 30CP	ALTHAIA GEN	2765	5.11
400008121	7899095201460	OMENAX 20 MG 28 CA OMEPRAZOL GEO.	GEOLAB SIM	2741	2.59
400010469	7899095203563	LORITIL 10MG 12 CP LORATADINA GEO	GEOLAB SIM	2738	1.34
400018817	7894164000609	LUFSIM 125MG 10CAP GEL SIMETICONA AIR	AIRELA	2733	2.02
400015700	7899620915237	PREGABALINA G. GLO 75MG 30 CA DURA (C1)	GLOBO GEN	2723	6.14
400009497	7896112104575	ATORVASTATINA G. TEU. 20MG 30P	TEUTO GEN	2717	3.79
400005709	7899095239401	CISTEIL 600MG 16ENVGRAN SOLUVEL GEO.	GEOLAB SIM	2709	11.39
400004814	7896112114574	FENITOINA G.TEU 100MG 30CP(C1)	TEUTO GEN	2694	5.18
400017682	7898633381800	POLIMAIS A-Z 60CAP NTX	NUTRIEX	2689	3.68
400003687	7896714207384	AMOXICILINA G.NEO 500MG 21CA(*)	NEO Q. GEN	2675	5.75
400009691	7896014673124	FERROPURUM 20MG/ML 5ML AMP SOL INJ OXIDO	BLAU SIMILAR	2642	44.92
400005199	7896714265933	NEOLEFRIN 20CP NEO	NEO Q. SMART	2637	4.64
400004823	7896112170310	FUROSEMIDA G.TEU 40MG 20CP	TEUTO GEN	2633	1.51
400017394	7898758870302	OSTEO MOVE CONDRO+GLUCO 60SACHE  PVT	PREVENT PHARMA	2620	29.43
